category,Achilles,Alice,Angel,Annie Christmas,Beowulf,Bigfoot,Black Panther,Black Widow,Bloody Mary,Bruce Lee,Buffy (Giles),Buffy (Xander),Bullseye,Cloak & Dagger,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Jekyll & Hyde,King Arthur,Little Red Riding Hood,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Raptors,Robin Hood,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Willow,Winter Soldier,Yennenga
Achilles,0,66,2,9,22,110,18,41,24,61,4,9,52,2,86,1,18,12,47,58,27,19,16,0,72,47,17,1,5,56,106,71,71,5,28,18,20,91,0,53,18,61,3,0,2,118,78,47,0,0,60,2,16,188
Alice,66,0,0,13,44,26,3,8,10,31,3,4,22,5,19,9,2,7,58,13,2,21,18,1,11,34,13,13,21,53,49,33,66,7,4,3,18,40,1,5,8,34,1,1,1,22,82,30,0,3,15,3,2,21
Angel,2,0,0,0,1,3,0,0,3,4,3,2,6,0,0,10,0,1,1,2,0,1,1,0,0,0,8,10,13,1,12,0,0,0,0,3,3,6,0,0,1,2,1,6,4,0,0,0,0,0,0,5,0,0
Annie Christmas,9,13,0,0,0,13,1,8,1,1,0,0,0,3,4,0,4,40,3,1,0,3,33,10,13,2,0,1,2,8,11,23,10,1,43,0,4,6,17,2,4,10,2,0,1,0,10,1,5,6,5,0,2,3
Beowulf,22,44,1,0,0,24,2,5,23,21,3,3,20,1,22,1,1,0,20,18,6,20,1,0,19,36,9,15,13,47,39,16,43,1,1,3,12,26,1,5,13,18,0,1,1,10,20,24,0,0,10,1,4,12
Bigfoot,110,26,3,13,24,0,20,17,35,20,1,4,11,2,38,0,7,87,8,81,9,17,164,0,77,59,19,9,13,81,54,139,63,3,42,1,33,57,0,28,37,62,6,1,1,62,66,32,0,0,12,2,12,148
Black Panther,18,3,0,1,2,20,0,70,1,16,1,0,5,1,40,0,33,43,0,32,3,22,6,0,101,27,2,2,0,35,40,33,15,2,39,2,16,6,2,28,22,7,11,0,2,42,31,22,0,0,3,0,60,33
Black Widow,41,8,0,8,5,17,70,0,3,1,0,0,33,6,52,0,38,18,7,12,2,3,8,4,40,16,2,1,0,39,27,42,20,6,35,14,27,29,3,32,24,7,13,0,0,18,22,46,3,5,81,0,106,53
Bloody Mary,24,10,3,1,23,35,1,3,0,37,2,5,13,1,15,30,1,1,5,25,3,23,35,0,9,15,37,66,30,26,20,7,24,5,1,11,13,8,0,5,5,16,21,3,23,34,2,20,0,0,0,10,1,45
Bruce Lee,61,31,4,1,21,20,16,1,37,0,8,10,32,11,24,5,3,14,27,48,6,14,2,0,37,35,29,32,8,37,14,33,23,9,19,1,7,44,0,0,9,49,25,5,18,43,21,22,0,0,0,4,4,51
