category,Achilles,Alice,Angel,Annie Christmas,Beowulf,Bigfoot,Black Panther,Black Widow,Bloody Mary,Bruce Lee,Buffy (Giles),Buffy (Xander),Bullseye,Cloak & Dagger,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Jekyll & Hyde,King Arthur,Little Red Riding Hood,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Raptors,Robin Hood,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Willow,Winter Soldier,Yennenga
Achilles,-2,29,0,11,32,52,28,41,29,36,50,11,50,0,33,100,50,33,43,53,81,11,44,-2,49,87,53,0,40,39,40,86,45,0,36,28,40,42,-2,38,67,34,33,-2,50,78,41,17,-2,-2,32,50,13,61
Alice,71,-2,-2,62,41,73,67,25,30,42,33,25,41,40,47,11,100,57,52,92,100,67,44,100,82,74,62,46,33,40,61,76,55,43,50,67,61,45,0,40,63,41,100,0,0,91,46,43,-2,33,47,0,100,71
Angel,100,-2,-2,-2,100,33,-2,-2,100,100,67,50,83,-2,-2,70,-2,100,100,100,-2,0,100,-2,-2,-2,38,80,54,0,83,-2,-2,-2,-2,67,67,83,-2,-2,100,100,100,50,50,-2,-2,-2,-2,-2,-2,60,-2,-2
Annie Christmas,89,38,-2,-2,-2,62,100,13,0,100,-2,-2,-2,0,25,-2,50,65,67,100,-2,100,42,20,77,100,-2,0,0,13,27,70,30,0,58,-2,50,33,47,50,25,30,100,-2,0,-2,20,100,60,67,40,-2,50,100
Beowulf,68,59,0,-2,-2,54,100,40,48,52,0,0,20,0,77,100,100,-2,50,22,100,30,100,-2,53,78,44,60,46,64,51,88,63,0,100,33,83,58,0,80,77,83,-2,100,0,80,75,25,-2,-2,60,0,75,83
Bigfoot,48,27,67,38,46,-2,30,18,37,10,100,25,18,100,8,-2,86,63,0,54,89,53,59,-2,32,58,32,0,23,58,33,67,51,33,31,0,30,33,-2,54,78,27,50,0,0,85,44,13,-2,-2,42,0,8,61
Black Panther,72,33,-2,0,0,70,-2,51,100,44,0,-2,0,100,40,-2,73,56,-2,41,67,27,83,-2,35,67,100,0,-2,29,70,76,73,50,64,100,88,17,0,75,77,71,45,-2,50,62,42,59,-2,-2,100,-2,60,48
Black Widow,59,75,-2,88,60,82,49,-2,67,100,-2,-2,45,17,33,-2,47,50,43,58,100,100,88,75,70,44,0,0,-2,67,74,57,65,17,74,43,44,45,0,75,67,29,31,-2,-2,39,82,52,100,40,72,-2,48,49
Bloody Mary,71,70,0,100,52,63,0,33,-2,70,0,40,54,0,47,37,100,100,100,80,67,48,57,-2,89,80,41,35,27,42,75,71,75,20,100,64,77,25,-2,60,100,75,14,67,65,82,100,40,-2,-2,-2,0,100,40
Bruce Lee,64,58,0,0,48,90,56,0,30,-2,25,70,50,64,50,20,67,50,70,67,67,36,50,-2,51,77,28,63,13,57,71,70,70,11,32,0,29,48,-2,-2,89,49,52,40,39,28,33,36,-2,-2,-2,0,25,49
Buffy (Giles),50,67,33,-2,100,0,100,-2,100,75,-2,0,50,-2,67,-2,-2,100,57,71,67,56,-2,-2,-2,33,50,38,25,86,67,100,100,-2,-2,-2,60,56,-2,-2,100,100,100,0,50,33,50,-2,-2,-2,100,100,-2,50
Buffy (Xander),89,75,50,-2,100,75,-2,-2,60,30,100,-2,53,33,50,-2,-2,-2,100,100,100,-2,100,-2,-2,50,33,71,-2,67,100,100,-2,0,100,0,50,38,-2,-2,67,64,50,0,0,100,100,0,-2,-2,-2,-2,0,71
Bullseye,50,59,17,-2,80,82,100,55,46,50,50,47,-2,73,49,0,32,-2,67,59,67,47,75,-2,80,23,14,67,41,85,92,63,70,70,78,0,63,46,0,50,63,82,50,-2,0,81,88,68,-2,-2,88,0,53,32
Cloak & Dagger,100,60,-2,100,100,0,0,83,100,36,-2,67,27,-2,0,0,0,-2,63,100,100,75,100,-2,-2,-2,67,30,100,69,-2,-2,100,39,63,-2,57,30,-2,-2,100,44,33,100,36,100,0,64,-2,-2,0,-2,50,57
Daredevil,67,53,-2,75,23,92,60,67,53,50,33,50,51,100,-2,0,60,6,32,67,50,39,88,-2,63,73,0,63,0,56,62,50,64,60,80,44,82,67,-2,57,100,59,33,-2,0,37,54,68,0,-2,79,-2,54,41
Deadpool,0,89,30,-2,0,-2,-2,-2,63,80,-2,-2,100,100,100,-2,-2,-2,100,-2,0,0,-2,-2,-2,100,33,22,24,-2,-2,-2,75,100,-2,100,100,50,-2,100,-2,100,33,67,60,-2,100,100,-2,-2,-2,50,-2,0
Doctor Strange,50,0,-2,50,0,14,27,53,0,33,-2,-2,68,100,40,-2,-2,40,0,25,100,100,44,-2,52,0,-2,-2,-2,0,58,50,50,-2,71,0,0,0,-2,40,-2,0,15,-2,-2,33,75,27,-2,-2,51,-2,41,57
Dr. Jill Trent,67,43,0,35,-2,37,44,50,0,50,0,-2,-2,-2,94,-2,60,-2,0,33,100,83,64,0,49,33,-2,-2,0,67,62,53,32,0,58,0,33,10,-2,57,-2,50,-2,-2,-2,59,67,0,-2,0,80,-2,75,48
Dr. Sattler,57,48,0,33,50,100,-2,57,0,30,43,0,33,38,68,0,100,100,-2,75,100,38,100,-2,60,64,46,40,0,20,43,100,44,18,100,-2,64,43,-2,-2,75,50,100,0,0,67,29,19,-2,-2,50,-2,0,32
Dracula,47,8,0,0,78,46,59,42,20,33,29,0,41,0,33,-2,75,67,25,-2,60,43,70,-2,52,59,40,22,13,38,32,60,54,0,80,-2,43,53,0,80,70,22,67,0,0,69,70,68,-2,-2,83,0,44,83
Elektra,19,0,-2,-2,0,11,33,0,33,33,33,0,33,0,50,100,0,0,0,40,-2,42,0,-2,33,25,0,0,50,54,70,50,0,0,100,-2,6,22,-2,29,62,13,-2,0,-2,13,18,50,-2,-2,0,-2,20,18
Ghost Rider,89,33,100,0,70,47,73,0,52,64,44,-2,53,25,61,100,0,17,63,57,58,-2,40,-2,81,72,85,42,67,63,65,50,79,56,71,-2,56,0,-2,100,92,48,-2,0,0,52,95,66,-2,100,100,-2,80,67
Golden Bat,56,56,0,58,0,41,17,13,43,50,-2,0,25,0,13,-2,56,36,0,30,100,60,-2,-2,67,0,0,10,9,38,61,41,29,50,51,0,58,27,-2,8,100,56,0,0,-2,54,46,18,-2,-2,64,-2,73,17
Hamlet,-2,0,-2,80,-2,-2,-2,25,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,100,-2,75,-2,-2,100,86,100,44,-2,-2,80,-2,-2,-2,-2,-2,-2,70,50,-2,-2,-2,-2
Houdini,51,18,-2,23,47,68,65,30,11,49,-2,-2,20,-2,37,-2,48,51,40,48,67,19,33,-2,-2,17,0,100,0,32,42,74,40,0,21,0,43,67,-2,73,36,50,0,0,100,49,64,41,0,-2,33,-2,8,58
InGen,13,26,-2,0,22,42,33,56,20,23,67,50,77,-2,28,0,100,67,36,41,75,28,100,-2,83,-2,33,19,17,47,70,81,44,100,92,-2,47,41,-2,55,76,23,-2,0,100,74,58,60,-2,50,100,-2,50,90
